date,forecast
2022-03-22,1546.3509074158685
2022-03-23,1483.183690638186
2022-03-24,1633.9854388358071
2022-03-25,1457.145260777222
2022-03-26,1085.7363409867276
2022-03-27,1019.8326756407303
2022-03-28,1340.2064966743308
2022-03-29,1390.488232717756
2022-03-30,1334.5410162616677
2022-03-31,1496.0597909632304
2022-04-01,1333.1788926853444
2022-04-02,978.6267189894481
2022-04-03,932.0509556574009
2022-04-04,1273.7270297409057
2022-04-05,1346.7313411366067
2022-04-06,1314.3309129278787
2022-04-07,1499.5990833004957
2022-04-08,1360.0406321202952
2022-04-09,1027.7644412526033
2022-04-10,1001.8266218649676
2022-04-11,1361.9562394356135
2022-04-12,1450.7446626940443
2022-04-13,1431.0496802918813
2022-04-14,1625.6235562895297
2022-04-15,1491.74802493736
2022-04-16,1161.4140028464515
2022-04-17,1133.6687129652123
2022-04-18,1488.3422025268949
2022-04-19,1568.2342282696434
2022-04-20,1536.5126985923353
2022-04-21,1716.3329835528205
2022-04-22,1565.461336589574
2022-04-23,1216.4405248436183
2022-04-24,1168.9207694237684
2022-04-25,1503.3684480163113
2022-04-26,1563.2340575094086
2022-04-27,1512.3311878387829
2022-04-28,1674.436404406529
2022-04-29,1507.8938635698391
2022-04-30,1145.7633368580216
2022-05-01,1088.1352828662834
2022-05-02,1415.825912017699
2022-05-03,1472.5341701123016
2022-05-04,1422.212742609114
2022-05-05,1588.6632390062446
2022-05-06,1430.139546294574
2022-05-07,1079.4980884059796
2022-05-08,1036.5185858772002
2022-05-09,1381.6081108019007
2022-05-10,1457.9701110949288
2022-05-11,1428.9901593409613
2022-05-12,1617.8481538327333
2022-05-13,1482.1404564778393
2022-05-14,1154.050142421984
2022-05-15,1132.688352441461
2022-05-16,1497.8189169914217
2022-05-17,1592.0472956332255
2022-05-18,1578.2249719055435
2022-05-19,1779.0784500448417
2022-05-20,1651.8458090481543
2022-05-21,1328.4585283959573
2022-05-22,1307.8911992009694
2022-05-23,1669.8910079385778
2022-05-24,1757.1678596971228
2022-05-25,1732.7962154908419
2022-05-26,1919.8378395694317
2022-05-27,1775.9685711495197
2022-05-28,1433.647114596917
2022-05-29,1392.4488295924436
2022-05-30,1732.776879107146
2022-05-31,1798.0321470741937
2022-06-01,1751.993608699402
2022-06-02,1918.419001650475
2022-06-03,1755.6495944343405
2022-06-04,1396.757721600008
2022-06-05,1341.8607412944173
2022-06-06,1671.8143992931807
2022-06-07,1730.3675857490405
2022-06-08,1681.530666598893
2022-06-09,1849.1676463213685
2022-06-10,1691.5962626899723
2022-06-11,1341.734872942939
2022-06-12,1299.4198549996963
2022-06-13,1645.106450814075
2022-06-14,1722.0348561653263
2022-06-15,1693.6134360692447
2022-06-16,1883.0289066837736
2022-06-17,1747.867066758449
2022-06-18,1420.2823331884827
2022-06-19,1399.3391294827748
2022-06-20,1764.7373291140357
2022-06-21,1859.002804001239
2022-06-22,1844.894196938277
2022-06-23,2045.0350150740323
2022-06-24,1916.5539232379194
2022-06-25,1591.2708487994823
2022-06-26,1568.051385696749
2022-06-27,1926.541238404911
2022-06-28,2009.3614101107896
2022-06-29,1979.5150354743328
2022-06-30,2160.014872525609
2022-07-01,2008.5143914529185
2022-07-02,1657.480265878487
2022-07-03,1606.5291000193115
2022-07-04,1936.1405876927297
2022-07-05,1989.8283945938465
2022-07-06,1931.5203470795348
2022-07-07,2085.15770865677
2022-07-08,1909.2973088207484
2022-07-09,1537.255200147446
2022-07-10,1469.4155449887753
2022-07-11,1786.9178018093176
2022-07-12,1833.8043225165618
2022-07-13,1774.3807052864129
2022-07-14,1932.799356286163
2022-07-15,1767.6505875775556
2022-07-16,1412.1003618276193
2022-07-17,1366.1986768307331
2022-07-18,1710.5717975492114
2022-07-19,1788.5804237816305
2022-07-20,1763.6959518472222
2022-07-21,1959.1049370681976
2022-07-22,1832.325584574763
2022-07-23,1515.374737871496
